Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2009-06-18,1.62,1.68,1.6,1.65,7400.0,0.0,1.0,16.200000000000006,16.8,16.0,16.5,740.0
2009-06-17,1.64,1.68,1.59,1.65,2000.0,0.0,1.0,16.4,16.8,15.9,16.5,200.0
2009-06-16,1.66,1.69,1.59,1.61,32800.0,0.0,1.0,16.599999999999998,16.9,15.9,16.1,3280.0
2009-06-15,1.57,1.68,1.56,1.68,13700.0,0.0,1.0,15.7,16.8,15.6,16.8,1370.0
2009-06-12,1.65,1.65,1.6,1.6,85400.0,0.0,1.0,16.5,16.5,16.0,16.0,8540.0
2009-06-11,1.65,1.67,1.54,1.66,102400.0,0.0,1.0,16.5,16.7,15.4,16.599999999999998,10240.0
2009-06-10,1.68,1.7,1.62,1.63,108700.0,0.0,1.0,16.8,17.0,16.200000000000006,16.299999999999994,10870.0
2009-06-09,1.69,1.7,1.62,1.68,58900.0,0.0,1.0,16.9,17.0,16.200000000000006,16.8,5890.0
2009-06-08,1.68,1.7076,1.6,1.6,216100.0,0.0,1.0,16.8,17.076,16.0,16.0,21610.0
2009-06-05,1.68,1.7,1.6499,1.65,212000.0,0.0,1.0,16.8,17.0,16.499000000000002,16.5,21200.0
2009-06-04,1.64,1.75,1.58,1.75,36700.0,0.0,1.0,16.4,17.5,15.8,17.5,3670.0
2009-06-03,1.61,1.65,1.58,1.61,24700.0,0.0,1.0,16.1,16.5,15.8,16.1,2470.0
2009-06-02,1.59,1.65,1.59,1.65,13000.0,0.0,1.0,15.9,16.5,15.9,16.5,1300.0
2009-06-01,1.61,1.65,1.5253,1.62,55100.0,0.0,1.0,16.1,16.5,15.253,16.200000000000006,5510.0
2009-05-29,1.6499,1.69,1.6,1.6,44600.0,0.0,1.0,16.499000000000002,16.9,16.0,16.0,4460.0
2009-05-28,1.6,1.61,1.56,1.61,9800.0,0.0,1.0,16.0,16.1,15.6,16.1,980.0
2009-05-27,1.65,1.65,1.52,1.52,36800.0,0.0,1.0,16.5,16.5,15.2,15.2,3680.0
2009-05-26,1.57,1.63,1.57,1.61,5600.0,0.0,1.0,15.7,16.299999999999994,15.7,16.1,560.0
2009-05-22,1.72,1.72,1.5514,1.57,43300.0,0.0,1.0,17.2,17.2,15.514000000000001,15.7,4330.0
2009-05-21,1.62,1.76,1.6,1.76,6400.0,0.0,1.0,16.200000000000006,17.6,16.0,17.6,640.0
2009-05-20,1.59,1.6601,1.55,1.58,72300.0,0.0,1.0,15.9,16.601,15.5,15.8,7230.0
2009-05-19,1.59,1.6,1.55,1.59,9100.0,0.0,1.0,15.9,16.0,15.5,15.9,910.0
2009-05-18,1.6,1.61,1.57,1.6,18400.0,0.0,1.0,16.0,16.1,15.7,16.0,1840.0
2009-05-15,1.62,1.62,1.55,1.6,16100.0,0.0,1.0,16.200000000000006,16.200000000000006,15.5,16.0,1610.0
2009-05-14,1.66,1.66,1.6075,1.63,31300.0,0.0,1.0,16.599999999999998,16.599999999999998,16.075,16.299999999999994,3130.0
2009-05-13,1.61,1.66,1.59,1.66,45600.0,0.0,1.0,16.1,16.599999999999998,15.9,16.599999999999998,4560.0
